time,count
12:36:46,82
12:36:47,79
12:36:48,92
12:36:49,85
12:36:50,96
12:36:51,81
12:36:52,79
12:36:53,93
12:36:54,97
12:36:55,91
12:36:56,86
12:36:57,83
12:36:58,99
12:36:59,94
12:37:00,88
12:37:01,107
12:37:02,79
12:37:03,100
12:37:04,81
12:37:05,97
12:37:06,78
12:37:07,68
12:37:08,81
12:37:09,93
12:37:10,85
12:37:11,81
12:37:12,86
12:37:13,106
12:37:14,102
12:37:15,91
12:37:16,107
12:37:17,94
12:37:18,76
12:37:19,87
12:37:20,101
12:37:21,93
12:37:22,89
12:37:23,74
12:37:24,87
12:37:25,85
12:37:26,103
12:37:27,83
12:37:28,92
12:37:29,90
12:37:30,91
12:37:31,88
12:37:32,86
12:37:33,79
12:37:34,76
12:37:35,98
12:37:36,83
12:37:37,93
12:37:38,113
12:37:39,83
12:37:40,99
12:37:41,102
12:37:42,94
12:37:43,91
12:37:44,89
12:37:45,92
12:37:46,91
12:37:47,93
12:37:48,70
12:37:49,94
12:37:50,90
12:37:51,99
12:37:52,86
12:37:53,83
12:37:54,98
12:37:55,109
12:37:56,103
12:37:57,88
12:37:58,97
12:37:59,80
12:38:00,80
12:38:01,108
12:38:02,103
12:38:03,85
12:38:04,101
12:38:05,94
12:38:06,107
12:38:07,94
12:38:08,90
12:38:09,96
12:38:10,88
12:38:11,83
12:38:12,93
12:38:13,88
12:38:14,87
12:38:15,101
12:38:16,86
12:38:17,86
12:38:18,98
12:38:19,104
12:38:20,96
12:38:21,92
12:38:22,84
12:38:23,103
12:38:24,81
12:38:25,90
12:38:26,96
12:38:27,101
12:38:28,82
12:38:29,81
12:38:30,61
12:38:31,88
12:38:32,101
12:38:33,87
12:38:34,83
12:38:35,108
12:38:36,100
12:38:37,105
12:38:38,89
12:38:39,78
12:38:40,95
12:38:41,87
12:38:42,97
12:38:43,80
12:38:44,91
12:38:45,107
12:38:46,95
12:38:47,103
12:38:48,107
12:38:49,87
12:38:50,77
12:38:51,106
12:38:52,92
12:38:53,100
12:38:54,88
12:38:55,94
12:38:56,101
12:38:57,103
12:38:58,87
12:38:59,105
12:39:00,98
12:39:01,92
12:39:02,96
12:39:03,101
12:39:04,96
12:39:05,100
12:39:06,77
12:39:07,104
12:39:08,102
12:39:09,97
12:39:10,103
12:39:11,95
12:39:12,89
12:39:13,86
12:39:14,93
12:39:15,123
12:39:16,97
12:39:17,88
12:39:18,104
12:39:19,100
12:39:20,93
12:39:21,92
12:39:22,90
12:39:23,78
12:39:24,93
12:39:25,80
12:39:26,90
12:39:27,86
12:39:28,94
12:39:29,81
12:39:30,94
12:39:31,96
